Passenger Arrivals by Nationality,Gender,Total Passenger Arrivals by Nationality,Year
Resident Dominicans,Female,175236,1999
Resident Dominicans,Male,168190,1999
Resident Foreigners,Female,8592,1999
Resident Foreigners,Male,13643,1999
Non-Resident Dominicans,Female,273699,1999
Non-Resident Dominicans,Male,227977,1999
Non-Resident Foreigners,Female,988333,1999
Non-Resident Foreigners,Male,1159409,1999
North America,Female,333538,1999
North America,Male,383566,1999
Canada,Female,89847,1999
Canada,Male,84778,1999
United States,Female,239420,1999
United States,Male,290932,1999
Mexico,Female,4271,1999
Mexico,Male,7856,1999
Central America and Caribbean,Female,21710,1999
Central America and Caribbean,Male,31591,1999
Aruba,Female,72,1999
Aruba,Male,91,1999
Costa Rica,Female,1625,1999
Costa Rica,Male,2638,1999
Cuba,Female,4129,1999
Cuba,Male,4999,1999
Curacao,Female,363,1999
Curacao,Male,563,1999
El Salvador,Female,402,1999
El Salvador,Male,511,1999
Guatemala,Female,1016,1999
Guatemala,Male,1667,1999
Haiti,Female,469,1999
Haiti,Male,757,1999
Honduras,Female,287,1999
Honduras,Male,437,1999
Jamaica,Female,345,1999
Jamaica,Male,364,1999
Panama,Female,1548,1999
Panama,Male,3112,1999
Puerto Rico,Female,10452,1999
Puerto Rico,Male,14429,1999
Saint Martin,Female,70,1999
Saint Martin,Male,184,1999
Other Caribbean,Female,932,1999
Other Caribbean,Male,1839,1999
South America,Female,73420,1999
South America,Male,80928,1999
Argentina,Female,33217,1999
Argentina,Male,33629,1999
Bolivia,Female,588,1999
Bolivia,Male,472,1999
Brazil,Female,2365,1999
Brazil,Male,3079,1999
Colombia,Female,9770,1999
Colombia,Male,11014,1999
Chile,Female,6499,1999
Chile,Male,8468,1999
Ecuador,Female,1128,1999
Ecuador,Male,1620,1999
Peru,Female,5116,1999
Peru,Male,4949,1999
Venezuela,Female,13769,1999
Venezuela,Male,16656,1999
Other South America,Female,968,1999
Other South America,Male,1041,1999
Europe,Female,553194,1999
Europe,Male,652813,1999
Germany,Female,207045,1999
Germany,Male,246130,1999
Austria,Female,10197,1999
Austria,Male,11633,1999
Belgium,Female,18485,1999
Belgium,Male,19258,1999
Spain,Female,58068,1999
Spain,Male,79596,1999
Finland,Female,3877,1999
Finland,Male,3876,1999
France,Female,64181,1999
France,Male,66406,1999
Netherlands,Female,17853,1999
Netherlands,Male,31106,1999
United Kingdom,Female,53428,1999
United Kingdom,Male,54617,1999
Italy,Female,60721,1999
Italy,Male,74818,1999
Portugal,Female,11648,1999
Portugal,Male,11999,1999
Sweden,Female,15859,1999
Sweden,Male,17318,1999
Switzerland,Female,24268,1999
Switzerland,Male,28240,1999
Other Europe,Female,7564,1999
Other Europe,Male,7816,1999
Asia,Female,881,1999
Asia,Male,1682,1999
India,Female,61,1999
India,Male,252,1999
Japan,Female,632,1999
Japan,Male,1209,1999
Thailand,Male,10,1999
Taiwan,Female,188,1999
Taiwan,Male,211,1999
Rest of the World,Female,5590,1999
Rest of the World,Male,8829,1999
Other Rest of the World,Female,5590,1999
Other Rest of the World,Male,8829,1999
Resident Dominicans,Female,162371,2000
Resident Dominicans,Male,155675,2000
Resident Foreigners,Female,8536,2000
Resident Foreigners,Male,14929,2000
Non-Resident Dominicans,Female,276894,2000
Non-Resident Dominicans,Male,236072,2000
Non-Resident Foreigners,Female,1157420,2000
Non-Resident Foreigners,Male,1302166,2000
North America,Female,430751,2000
North America,Male,471866,2000
Canada,Female,126548,2000
Canada,Male,119184,2000
United States,Female,299430,2000
United States,Male,344318,2000
Mexico,Female,4773,2000
Mexico,Male,8364,2000
Central America and Caribbean,Female,24694,2000
Central America and Caribbean,Male,30992,2000
Aruba,Female,29,2000
Aruba,Male,20,2000
Costa Rica,Female,1177,2000
Costa Rica,Male,2038,2000
Cuba,Female,5010,2000
Cuba,Male,6313,2000
Curacao,Female,508,2000
Curacao,Male,686,2000
El Salvador,Female,567,2000
El Salvador,Male,868,2000
Guatemala,Female,873,2000
Guatemala,Male,1545,2000
Haiti,Female,488,2000
Haiti,Male,631,2000
Honduras,Female,247,2000
Honduras,Male,295,2000
Jamaica,Female,288,2000
Jamaica,Male,414,2000
Panama,Female,1705,2000
Panama,Male,2909,2000
Puerto Rico,Female,12480,2000
Puerto Rico,Male,13204,2000
Saint Martin,Female,142,2000
Saint Martin,Male,230,2000
Other Caribbean,Female,1180,2000
Other Caribbean,Male,1839,2000
South America,Female,84122,2000
South America,Male,89054,2000
Argentina,Female,37707,2000
Argentina,Male,36952,2000
Bolivia,Female,539,2000
