Llegada de Pasajeros por Nacionalidad,Sexo,Total de Llegada de Pasajero por Nacionalidad,Año
Dominicanos residentes,Femenino,175236,1999
Dominicanos residentes,Masculino,168190,1999
Extranjeros residentes,Femenino,8592,1999
Extranjeros residentes,Masculino,13643,1999
Dominicanos no residentes,Femenino,273699,1999
Dominicanos no residentes,Masculino,227977,1999
Extranjeros no residentes,Femenino,988333,1999
Extranjeros no residentes,Masculino,1159409,1999
América del norte,Femenino,333538,1999
América del norte,Masculino,383566,1999
Canadá,Femenino,89847,1999
Canadá,Masculino,84778,1999
Estados Unidos,Femenino,239420,1999
Estados Unidos,Masculino,290932,1999
México,Femenino,4271,1999
México,Masculino,7856,1999
América central y Caribe,Femenino,21710,1999
América central y Caribe,Masculino,31591,1999
Aruba,Femenino,72,1999
Aruba,Masculino,91,1999
Bahamas,Femenino,0,1999
Bahamas,Masculino,0,1999
"Caicos y Turcas, Islas",Femenino,0,1999
"Caicos y Turcas, Islas",Masculino,0,1999
Costa Rica,Femenino,1625,1999
Costa Rica,Masculino,2638,1999
Cuba,Femenino,4129,1999
Cuba,Masculino,4999,1999
Curazao,Femenino,363,1999
Curazao,Masculino,563,1999
El Salvador,Femenino,402,1999
El Salvador,Masculino,511,1999
Guadalupe,Femenino,0,1999
Guadalupe,Masculino,0,1999
Guatemala,Femenino,1016,1999
Guatemala,Masculino,1667,1999
Haití,Femenino,469,1999
Haití,Masculino,757,1999
Honduras,Femenino,287,1999
Honduras,Masculino,437,1999
Jamaica,Femenino,345,1999
Jamaica,Masculino,364,1999
Martinica,Femenino,0,1999
Martinica,Masculino,0,1999
Nicaragua,Femenino,0,1999
Nicaragua,Masculino,0,1999
Panamá,Femenino,1548,1999
Panamá,Masculino,3112,1999
Puerto Rico,Femenino,10452,1999
Puerto Rico,Masculino,14429,1999
San Martín,Femenino,70,1999
San Martín,Masculino,184,1999
Trinidad y Tobago,Femenino,0,1999
Trinidad y Tobago,Masculino,0,1999
"Vírgenes Americanas, Islas",Femenino,0,1999
"Vírgenes Americanas, Islas",Masculino,0,1999
Otros del Caribe,Femenino,932,1999
Otros del Caribe,Masculino,1839,1999
América del sur,Femenino,73420,1999
América del sur,Masculino,80928,1999
Argentina,Femenino,33217,1999
Argentina,Masculino,33629,1999
Bolivia,Femenino,588,1999
Bolivia,Masculino,472,1999
Brasil,Femenino,2365,1999
Brasil,Masculino,3079,1999
Colombia,Femenino,9770,1999
Colombia,Masculino,11014,1999
Chile,Femenino,6499,1999
Chile,Masculino,8468,1999
Ecuador,Femenino,1128,1999
Ecuador,Masculino,1620,1999
Perú,Femenino,5116,1999
Perú,Masculino,4949,1999
Uruguay,Femenino,0,1999
Uruguay,Masculino,0,1999
Venezuela,Femenino,13769,1999
Venezuela,Masculino,16656,1999
Otros de Suramérica,Femenino,968,1999
Otros de Suramérica,Masculino,1041,1999
Europa,Femenino,553194,1999
Europa,Masculino,652813,1999
Alemania,Femenino,207045,1999
Alemania,Masculino,246130,1999
Austria,Femenino,10197,1999
Austria,Masculino,11633,1999
Bélgica,Femenino,18485,1999
Bélgica,Masculino,19258,1999
Bulgaria,Femenino,0,1999
Bulgaria,Masculino,0,1999
Checoslovaquia,Femenino,0,1999
Checoslovaquia,Masculino,0,1999
Dinamarca,Femenino,0,1999
Dinamarca,Masculino,0,1999
Escocia,Femenino,0,1999
Escocia,Masculino,0,1999
España,Femenino,58068,1999
España,Masculino,79596,1999
Finlandia,Femenino,3877,1999
Finlandia,Masculino,3876,1999
Francia,Femenino,64181,1999
Francia,Masculino,66406,1999
Grecia,Femenino,0,1999
Grecia,Masculino,0,1999
Holanda,Femenino,17853,1999
Holanda,Masculino,31106,1999
Hungría,Femenino,0,1999
Hungría,Masculino,0,1999
Reino Unido,Femenino,53428,1999
Reino Unido,Masculino,54617,1999
Irlanda,Femenino,0,1999
Irlanda,Masculino,0,1999
Italia,Femenino,60721,1999
Italia,Masculino,74818,1999
Luxemburgo,Femenino,0,1999
Luxemburgo,Masculino,0,1999
Noruega,Femenino,0,1999
Noruega,Masculino,0,1999
Polonia,Femenino,0,1999
Polonia,Masculino,0,1999
Portugal,Femenino,11648,1999
Portugal,Masculino,11999,1999
República Checa,Femenino,0,1999
República Checa,Masculino,0,1999
Rumania,Femenino,0,1999
Rumania,Masculino,0,1999
Rusia,Femenino,0,1999
Rusia,Masculino,0,1999
Suecia,Femenino,15859,1999
Suecia,Masculino,17318,1999
Suiza,Femenino,24268,1999
Suiza,Masculino,28240,1999
Ucrania,Femenino,0,1999
Ucrania,Masculino,0,1999
Otros de Europa,Femenino,7564,1999
Otros de Europa,Masculino,7816,1999
Asia,Femenino,881,1999
Asia,Masculino,1682,1999
Corea del Sur,Femenino,0,1999
Corea del Sur,Masculino,0,1999
China,Femenino,0,1999
China,Masculino,0,1999
India,Femenino,61,1999
India,Masculino,252,1999
Israel,Femenino,0,1999
Israel,Masculino,0,1999
